,NO,NO2,NOX,O3,PM10,PM2.5,SO2,WIND,WINDS
3627,64.6,22.6,92.2,8.46,15.8,15.0,22.0,47.72063998,1.92
3628,51.0,28.09090909,83.63636364,15.38181818,22.81818182,27.81818182,6.818181818,49.1645576,2.0
3629,66.0,23.90909091,94.54545455,10.57272727,28.36363636,28.63636364,14.90909091,50.8905749,2.090909091
3630,96.09090909,26.27272727,127.3636364,9.2,23.36363636,16.09090909,15.54545455,31.54342117,2.427272727
3631,135.2727273,26.09090909,166.0909091,10.21818182,15.27272727,20.36363636,7.363636364,45.03600239,2.527272727
3632,173.0909091,27.81818182,206.4545455,7.681818182,16.45454545,18.72727273,6.727272727,46.84386382,1.872727273
3633,208.5454545,32.18181818,246.4545455,5.872727273,26.27272727,36.72727273,8.363636364,45.16443181,0.918181818
3634,199.7272727,28.72727273,233.8181818,6.218181818,50.81818182,49.18181818,10.36363636,51.17421233,0.6
3635,173.8181818,29.0,208.0,5.481818182,74.36363636,81.81818182,12.36363636,57.32017988,0.309090909
3636,255.7272727,18.72727273,280.2727273,5.018181818,60.63636364,71.63636364,12.45454545,127.0311854,0.690909091
3637,171.4545455,20.54545455,197.4545455,4.745454545,83.81818182,101.5454545,11.63636364,130.5809289,0.963636364
3638,38.36363636,24.0,66.81818182,5.954545455,60.81818182,65.45454545,9.727272727,125.7334324,1.654545455
3639,9.454545455,18.72727273,32.81818182,7.372727273,28.72727273,51.54545455,15.18181818,105.6497987,1.481818182
3640,7.363636364,18.81818182,30.45454545,7.990909091,38.36363636,37.0,16.36363636,86.19954954,1.154545455
3641,11.81818182,16.27272727,32.90909091,8.618181818,27.63636364,34.45454545,13.27272727,116.8102153,1.218181818
3642,36.63636364,19.63636364,60.81818182,7.181818182,21.0,28.27272727,12.81818182,134.6101943,1.236363636
3643,48.0,18.18181818,71.09090909,5.8,24.0,30.09090909,11.81818182,133.2035762,1.209090909
3644,131.3636364,11.18181818,147.7272727,4.336363636,26.27272727,37.90909091,12.0,131.7692207,1.254545455
3645,335.2727273,0.909090909,333.9090909,3.263636364,32.27272727,47.27272727,15.0,129.7843512,1.009090909
3646,306.6363636,7.181818182,316.6363636,3.218181818,40.54545455,52.09090909,16.18181818,122.3145866,0.809090909
3647,161.5454545,27.72727273,194.0909091,5.363636364,32.81818182,45.0,11.36363636,46.39046776,1.018181818
3648,109.0909091,28.81818182,142.7272727,9.181818182,19.09090909,26.0,8.454545455,342.4981129,1.254545455
3649,82.45454545,29.36363636,116.4545455,12.43636364,7.181818182,11.45454545,7.090909091,323.5022006,1.272727273
3650,57.90909091,23.63636364,86.54545455,14.05454545,7.545454545,12.72727273,8.181818182,12.86230608,1.009090909
3651,56.0,25.09090909,85.81818182,15.47272727,7.636363636,8.818181818,7.181818182,25.190004,1.609090909
3652,54.09090909,29.36363636,88.36363636,17.5,13.90909091,12.54545455,7.0,13.45225023,1.436363636
3653,81.81818182,35.0,121.6363636,15.48181818,13.90909091,15.09090909,7.909090909,326.9311677,1.563636364
3654,89.0,38.72727273,132.5454545,14.70909091,20.09090909,25.27272727,7.181818182,317.7343846,1.345454545
3655,90.45454545,48.09090909,143.2727273,14.90909091,18.18181818,25.72727273,7.272727273,295.3393515,1.136363636
3656,156.0,46.0,207.3636364,7.345454545,30.27272727,34.36363636,8.727272727,308.2454898,0.881818182
